100001,"Acahuara","10","T10001","Y así venían proseguiendo el dicho sacrificio, y en un llano que está junto a <i>Rurucache</i> hacían el mismo sacrificio; y en otro cerro llamado <i>Sunto</i>, junto a <i>Sihuana</i>, en <i>Cacha</i>, en otro cerro llamado <i>Cacha Uiracocha</i> hacían lo mismo; y en otro cerro llamado <i>Yacalla Huaca</i> y en otro llamado <i>Ruraoma</i>, en <i>Quiquijana</i>, en el llano della; y en <i>Mollebanba</i> hacían lo mismo; y en <i>Urcos</i>, en un cerro llamado <i>Urcos Uiracocha</i>, hacían lo mismo; y en <i>Antahuayla</i> en un llano que allí estava, quemavan otro; y junto <i>Antahuayla</i>, en otro llamado <i>Pati</i> hacían lo propio; y en otro llamado <b>Acahuara</b> hacían lo mismo y en <i>Quispicancha</i>, en un cerro que está allí hazían lo mismo...","69","","","","sin datos"
100002,"Achicoc","10","T10002","Avía otros llamados <b>achicoc</b> que son los surtiligos que con <i>maíz</i> y estiércol de carneros hechavan suertes; si quedauan pares o nones davan sus respuestas diciendo asimismo lo que querían saber dél el que los llamava.","63","","","","sin datos"
100003,"Acoyapongo","10","T10003","Y salían todos quatro esquadrones, cada uno para el lugar que estaba dedicado, saliendo los que estaban para <i>Collasuyo</i> con gran ynpetu hasta la angostura de <b>acoyapongo</b>, que será dos leguas del <i>Cuzco</i> pequeñas e yban dando boces diciendo: Salga el mal fuera.","74","","","","sin datos"
100004,"Aepiran","10","T10004","…y al entrar del Sol llevavan otro al cerro llamado <b>Aepiran</b>, porque sobre él se pone el Sol, el qual sacrificavan por la misma horden; y sacrificavan demás desto y ofrecían a las dichas <i>huacas</i> unos cesticos de <i>coca</i> llamados <i>paucarunco</i> y unos que llamavan <i>paucarquinto</i> a manera de <i>coca</i>, y un poco de <i>maíz</i> tostado y conchas de la mar que llaman <i>mullo</i>, colorado y amarillo, hechas a manera de <i>maíz</i>.","68","","","","sin datos"
100005,"Agi","10","T10005","Este día, comían sal y las demás comidas, porque quando se armavan cavalleros siempre ayunavan y no comían sal ni <b>agí</b>","111","","","","sin datos"
100006,"Aguaque","10","T10006","y vio que venían dos aves que llaman <b>aguaque</b>, por otro nombre llaman torito, y en nuestra lengua las llamamos <i>guacamayos</i>.","56","","","","sin datos"
100007,"Aillos","10","T10007","Y a esta ora salía toda la jente del <i>Cuzco</i> por sus <b>aillos</b> y parcialidades, los quales venían lo más ricamente adereçados que podían, y llegados <i>mochavan</i> al Açedor y al Sol y al <i>Ynca</i> señor, y luego se asentavan en sus asientos cada uno conforme a la calidad que tenían, divididos: los <i>Hanancuzcos</i> a su parte y los <i>Hurincuzcos</i> a la suya.","78","","","","sin datos"
100007,"Aillos","10","T10008","Venían por sus parcialidades y <b>aillos</b> toda la jente hasta allegar al <i>Cuzco</i>, trayendo los que se avían armado cavalleros, las <i>guaracas</i> en la caveça y los manojos de paja en las manos; y así allegados a la plaza hacían adoración a las <i>guacas</i> ya dichas.","102","","","","sin datos"
100008,"Aji","10","T10009","vivirían en prosperidad y gracia y salud y que para bolver a ellos ayunasen algunos días, no comiendo sal ni <b>ají</b> ni durmiendo hombre con muger, ni comiendo <i>maíz</i> de colores","130","","","","sin datos"
100009,"Ajies","10","T10010","Y así para este día tenían aparejado todos los géneros y maneras de comidas que ellos usavan, todas las maneras de <b>ajíes</b>, gran cantidad de cestos de <i>coca</i>, todas las maneras de ropas de colores que ellos uestían, y calçados de que usavan, <i>llautos</i> y plumas que se ponían en la caveça","115","","","","sin datos"
100010,"Alauiçitua Taqui","10","T10011","Y este día entendían en sólo comer y bever y holgarse y hacían el <i>taqui</i> llamado <b>Alauiçitua Taqui</b> con unas camisitas coloradas hasta los pies y unas diademas en las caveças llamadas <i>pilco casa</i> y tañían con unos canutos de caña, chicos y grandes, haciendo con ellos una música llamada <i>ticatica</i>.","78","","","","sin datos"
100011,"Allonsaytambo","10","T10012","y alumbrando los que lo yban siguiendo y llegados a la puente del dicho <b>Allonsaytambo</b> [<i>Ollantaytambo</i>], que es un río grande que baxa la mar del norte, al llegar de los dichos sacrificios hechavan de la puente dos cestos de <i>coca</i> llamados <i>pilco longo</i>, <i>paucarongo</i> y así dejavan yr solos a los dichos sacrificios.","116","","","","sin datos"
100012,"Anaguarque","10","T10013","Y luego se ponían por su horden, delante de la dicha <i>guaca</i> de <b>Anaguarque</b>, todos en hilera, parejo los dichos mancevos cavalleros","105","","","","sin datos"
100012,"Anaguarque","10","T10014","y así yban caminando hasta llegar al cerro llamado <b>Anaguarque</b>, que será dos leguas del <i>Cuzco</i>, a dar a la guaca que en lo alto del cerro estava, llamada del dicho nombre. Hera <i>guaca</i> de los yndios del pueblo de <i>Choco</i> y <i>Cachona</i>.","104","","","","sin datos"
100013,"Anan Cuzco","10","T10015","y como yban entrando por su horden, yban haciendo la <i>mucha</i> al Hacedor y Sol y demás <i>guacas</i> y al <i>Ynca</i>; sentadas las parcialidades de <b>Anan Cuzco</b> y la de <i>Hurin Cuzco</i>, cada una a su parte","106","","","","sin datos"
100013,"Anan Cuzco","10","T10016","Concluydo lo qual, se asentavan todos por sus parcialidades, los de <b>Anan Cuzco</b> y <i>Hurin Cuzco</i> tenían ya aparejados unos leones desollados","108","","","","sin datos"
100013,"Anan Cuzco","10","T10017","Llamavan estas camisetas <i>puca caycho anco>/italic>; llamavan a este <i>taqui</i> <i>coyo</i>; ynventólo <i>Pachacuti Ynca Yupanqui</i>, y hacíase con tanbores, dos de <b>Anan Cuzco</b> y dos de <i>Hurin Cuzco</i>.","108","","","","sin datos"
100013,"Anan Cuzco","10","T10018","Llamavan al mes de diciembre <i>Camayquilla</i>, en el qual, el primer día de la luna, los que se avían armado cavalleros, así de la parcialidad de <b>Anan Cuzco</b> como de <i>Hurin Cuzco</i>, salían a la plaza con unas hondas en las manos, llamadas <i>huaracas</i>, y los de <b>Anan Cuzco</b> contra los de <i>Hurin Cuzco</i> se tiravan hondaces con una que llaman <i>coco</i>, que se da en unos cordones, y benían algunas vezes a los braços a provar las fuerças, hasta que el <i>Ynga</i> que estava ya en la plaza se levantava y los ponían en paz. Llamauan a esto <i>chocanaco</i>; hacían esto para que fuesen conocidos los de más fuerças y más baliente","111","","","","sin datos"
100013,"Anan Cuzco","10","T10019","Sacavan a la plaza para hacer esta fiesta todas las <i>guacas</i> ya dichas y los cuerpos de los <i>yngas</i> señores y señoras difuntos, para veve r  con ellos, poniendo los que avían sido señores de la parcialidad de <i>Anan Cuzco</i> en ella y a los de <i>Hurin Cuzco</i> en la suya, y así trayan de comer y bever a los muertos","111","","","","sin datos"
100014,"Anancuzco","10","T10020","Los sacerdotes dellos venían unos con otros y los cuerpos enbalsamados los de <b>Anancuzco</b> con los de <i>Hurincuzco</i> y así consumían y gastavan aquel día en los susodicho.","79","","","","sin datos"
100014,"Anancuzco","10","T10021","Y así se yban poniendo por sus lugares que ya dedicados tenían, porque para darles más lugar, los yndios de <b>Anancuzco</b> y <i>Hurincuzco</i> se hacían entrambas parcialidades una, y así dejavan desembaraçada la plaza.","94","","","","sin datos"
100015,"Ancasmarca","10","T10022","En la provincia de yndios de <b>Ancasmarca</b>, que es cinco leguas del <i>Cuzco</i>, en la provincia de <i>Antisuyo</i>…","57","","","","sin datos"
100015,"Ancasmarca","10","T10023","y acordó con ellos que recoxiesen comida y ganado lo más que pudiesen, y suviéronse en un cerro muy alto llamado <b>Ancasmarca</b>; y dicen como las aguas yban creciendo y cubriendo la tierra, yba ceciendo el cerro de tal manera que jamás le sobrepujaron y que después como se yban recojiendo las aguas, se yba bajando el cerro, y así destos seis hijos de aquel pastor que allí escaparon, se bolvió a poblar la provincia de los <i>Cuyos</i>","57","","","","sin datos"
100016,"Anga Sonco Quila Pionco","10","T10024","A los dies y ocho días del dicho mes, salían a la plaza vestidos con unas vestiduras muy galanas llamadas <b>Anga Sonco Quila Pionco</b>, y unas mantas pequeñas, y en las caveças unas plumas llamadas <i>cupaticas</i>, quez son de colas de <i>guacamayas</i> y pilo llamado <i>gualanbabi</i>; que hera hecho de plumas.","113-114","","","","sin datos"
100017,"Angallo","10","T10025","hacía traer ante sí todas las doncellas y las hacía dar a cada una dellas un vestido que hera el <i>axo</i> colorado y blanco, llamado <b>angallo</b> y la <i>lliclla</i> de lo mismo","103","","","","sin datos"
100018,"Angalloaxo","10","T10026","y el otro día le davan un poco de <i>maíz</i> crudo, diciendo que no se muriese de hambre, y estávase queda en un lugar dentro de su casa; al quarto día se lavava y se ponía una ropa llamada <b>angalloaxo</b>, y unas <i>ojotas</i> de lana blanca","120","","","","sin datos"
100019,"Ansa","10","T10027","La jente del <i>Cuzco</i> llevavan los sacrificios ya dichos hasta <i>Sacalpina</i>, que será una legua del <i>Cuzco</i> y ado los recevían los yndios de <b>Ansa</b>.","122","","","","sin datos"
